x,y,z
-5,-3,-8
-5,-2,-7
-5,-1,-6
-5,0,-5
-5,1,-4
-5,2,-3
-5,3,-2
-5,4,-1
-5,5,0
-5,6,1
-5,7,2
-5,8,3
-5,9,4
-5,10,5
-5,11,6
-5,12,7
-5,13,8
-5,14,9
-5,15,10
-5,16,11
-5,17,12
-5,18,13
-5,19,14
-4,-20,-24
-4,-19,-23
-4,-18,-22
-4,-17,-21
-4,-16,-20
-4,-15,-19
-4,-14,-18
-4,-13,-17
-4,-12,-16
-4,-11,-15
-4,-10,-14
-4,-9,-13
-4,-8,-12
-4,-7,-11
-4,-6,-10
-4,-5,-9
-4,-4,-8
-4,-3,-7
-4,-2,-6
-4,-1,-5
-4,0,-4
-4,1,-3
-4,2,-2
-4,3,-1
-4,4,0
-4,5,1
-4,6,2
-4,7,3
-4,8,4
-4,9,5
-4,10,6
-4,11,7
-4,12,8
-4,13,9
-4,14,10
-4,15,11
-4,16,12
-4,17,13
-4,18,14
-4,19,15
-3,-20,-23
-3,-19,-22
-3,-18,-21
-3,-17,-20
-3,-16,-19
-3,-15,-18
-3,-14,-17
-3,-13,-16
-3,-12,-15
-3,-11,-14
-3,-10,-13
-3,-9,-12
-3,-8,-11
-3,-7,-10
-3,-6,-9
-3,-5,-8
-3,-4,-7
-3,-3,-6
-3,-2,-5
-3,-1,-4
-3,0,-3
-3,1,-2
-3,2,-1
-3,3,0
-3,4,1
-3,5,2
-3,6,3
-3,7,4
-3,8,5
-3,9,6
-3,10,7
-3,11,8
-3,12,9
-3,13,10
-3,14,11
-3,15,12
-3,16,13
-3,17,14
-3,18,15
-3,19,16
-2,-20,-22
-2,-19,-21
-2,-18,-20
-2,-17,-19
-2,-16,-18
-2,-15,-17
-2,-14,-16
-2,-13,-15
-2,-12,-14
-2,-11,-13
-2,-10,-12
-2,-9,-11
-2,-8,-10
-2,-7,-9
-2,-6,-8
-2,-5,-7
-2,-4,-6
-2,-3,-5
-2,-2,-4
-2,-1,-3
-2,0,-2
-2,1,-1
-2,2,0
-2,3,1
-2,4,2
-2,5,3
-2,6,4
-2,7,5
-2,8,6
-2,9,7
-2,10,8
-2,11,9
-2,12,10
-2,13,11
-2,14,12
-2,15,13
-2,16,14
-2,17,15
-2,18,16
-2,19,17
-1,-20,-21
-1,-19,-20
-1,-18,-19
-1,-17,-18
-1,-16,-17
-1,-15,-16
-1,-14,-15
-1,-13,-14
-1,-12,-13
-1,-11,-12
-1,-10,-11
-1,-9,-10
-1,-8,-9
-1,-7,-8
-1,-6,-7
-1,-5,-6
-1,-4,-5
-1,-3,-4
-1,-2,-3
-1,-1,-2
-1,0,-1
-1,1,0
-1,2,1
-1,3,2
-1,4,3
-1,5,4
-1,6,5
-1,7,6
-1,8,7
-1,9,8
-1,10,9
-1,11,10
-1,12,11
-1,13,12
-1,14,13
-1,15,14
-1,16,15
-1,17,16
-1,18,17
-1,19,18
0,-20,-20
0,-19,-19
0,-18,-18
0,-17,-17
0,-16,-16
0,-15,-15
0,-14,-14
0,-13,-13
0,-12,-12
0,-11,-11
0,-10,-10
0,-9,-9
0,-8,-8
0,-7,-7
0,-6,-6
0,-5,-5
0,-4,-4
0,-3,-3
0,-2,-2
0,-1,-1
0,0,0
0,1,1
0,2,2
0,3,3
0,4,4
0,5,5
0,6,6
0,7,7
0,8,8
0,9,9
0,10,10
0,11,11
0,12,12
0,13,13
0,14,14
0,15,15
0,16,16
0,17,17
0,18,18
0,19,19
1,-20,-19
1,-19,-18
1,-18,-17
1,-17,-16
1,-16,-15
1,-15,-14
1,-14,-13
1,-13,-12
1,-12,-11
1,-11,-10
1,-10,-9
1,-9,-8
1,-8,-7
1,-7,-6
1,-6,-5
1,-5,-4
1,-4,-3
1,-3,-2
1,-2,-1
1,-1,0
1,0,1
1,1,2
1,2,3
1,3,4
1,4,5
1,5,6
1,6,7
1,7,8
1,8,9
1,9,10
1,10,11
1,11,12
1,12,13
1,13,14
1,14,15
1,15,16
1,16,17
1,17,18
1,18,19
1,19,20
2,-20,-18
2,-19,-17
2,-18,-16
2,-17,-15
2,-16,-14
2,-15,-13
2,-14,-12
2,-13,-11
2,-12,-10
2,-11,-9
2,-10,-8
2,-9,-7
2,-8,-6
2,-7,-5
2,-6,-4
2,-5,-3
2,-4,-2
2,-3,-1
2,-2,0
2,-1,1
2,0,2
2,1,3
2,2,4
2,3,5
2,4,6
2,5,7
2,6,8
2,7,9
2,8,10
2,9,11
2,10,12
2,11,13
2,12,14
2,13,15
2,14,16
2,15,17
2,16,18
2,17,19
2,18,20
2,19,21
3,-20,-17
3,-19,-16
3,-18,-15
3,-17,-14
3,-16,-13
3,-15,-12
3,-14,-11
3,-13,-10
3,-12,-9
3,-11,-8
3,-10,-7
3,-9,-6
3,-8,-5
3,-7,-4
3,-6,-3
3,-5,-2
3,-4,-1
3,-3,0
3,-2,1
3,-1,2
3,0,3
3,1,4
3,2,5
3,3,6
3,4,7
3,5,8
3,6,9
3,7,10
3,8,11
3,9,12
3,10,13
3,11,14
3,12,15
3,13,16
3,14,17
3,15,18
3,16,19
3,17,20
3,18,21
3,19,22
4,-20,-16
4,-19,-15
4,-18,-14
4,-17,-13
4,-16,-12
4,-15,-11
4,-14,-10
4,-13,-9
4,-12,-8
4,-11,-7
4,-10,-6
4,-9,-5
4,-8,-4
4,-7,-3
4,-6,-2
4,-5,-1
4,-4,0
4,-3,1
4,-2,2
4,-1,3
4,0,4
4,1,5
4,2,6
4,3,7
4,4,8
4,5,9
4,6,10
4,7,11
4,8,12
4,9,13
4,10,14
4,11,15
4,12,16
4,13,17
4,14,18
4,15,19
4,16,20
4,17,21
4,18,22
4,19,23
5,-20,-15
5,-19,-14
5,-18,-13
5,-17,-12
5,-16,-11
5,-15,-10
5,-14,-9
5,-13,-8
5,-12,-7
5,-11,-6
5,-10,-5
5,-9,-4
5,-8,-3
5,-7,-2
5,-6,-1
5,-5,0
5,-4,1
5,-3,2
5,-2,3
5,-1,4
5,0,5
5,1,6
5,2,7
5,3,8
5,4,9
5,5,10
5,6,11
5,7,12
5,8,13
5,9,14
5,10,15
5,11,16
5,12,17
5,13,18
5,14,19
5,15,20
5,16,21
5,17,22
5,18,23
5,19,24
6,-20,-14
6,-19,-13
6,-18,-12
6,-17,-11
6,-16,-10
6,-15,-9
6,-14,-8
6,-13,-7
6,-12,-6
6,-11,-5
6,-10,-4
6,-9,-3
6,-8,-2
6,-7,-1
6,-6,0
6,-5,1
6,-4,2
6,-3,3
6,-2,4
6,-1,5
6,0,6
6,1,7
6,2,8
6,3,9
6,4,10
6,5,11
6,6,12
6,7,13
6,8,14
6,9,15
6,10,16
6,11,17
6,12,18
6,13,19
6,14,20
6,15,21
6,16,22
6,17,23
6,18,24
6,19,25
7,-20,-13
7,-19,-12
7,-18,-11
7,-17,-10
7,-16,-9
7,-15,-8
7,-14,-7
7,-13,-6
7,-12,-5
7,-11,-4
7,-10,-3
7,-9,-2
7,-8,-1
7,-7,0
7,-6,1
7,-5,2
7,-4,3
7,-3,4
7,-2,5
7,-1,6
7,0,7
7,1,8
7,2,9
7,3,10
7,4,11
7,5,12
7,6,13
7,7,14
7,8,15
7,9,16
7,10,17
7,11,18
7,12,19
7,13,20
7,14,21
7,15,22
7,16,23
7,17,24
7,18,25
7,19,26
8,-20,-12
8,-19,-11
8,-18,-10
8,-17,-9
8,-16,-8
8,-15,-7
8,-14,-6
8,-13,-5
8,-12,-4
8,-11,-3
8,-10,-2
8,-9,-1
8,-8,0
8,-7,1
8,-6,2
8,-5,3
8,-4,4
8,-3,5
8,-2,6
8,-1,7
8,0,8
8,1,9
8,2,10
8,3,11
8,4,12
8,5,13
8,6,14
8,7,15
8,8,16
8,9,17
8,10,18
8,11,19
8,12,20
8,13,21
8,14,22
8,15,23
8,16,24
8,17,25
8,18,26
8,19,27
9,-20,-11
9,-19,-10
9,-18,-9
9,-17,-8
9,-16,-7
9,-15,-6
9,-14,-5
9,-13,-4
9,-12,-3
9,-11,-2
9,-10,-1
9,-9,0
9,-8,1
9,-7,2
9,-6,3
9,-5,4
9,-4,5
9,-3,6
9,-2,7
9,-1,8
9,0,9
9,1,10
9,2,11
9,3,12
9,4,13
9,5,14
9,6,15
9,7,16
9,8,17
9,9,18
9,10,19
9,11,20
9,12,21
9,13,22
9,14,23
9,15,24
9,16,25
9,17,26
9,18,27
9,19,28
10,-20,-10
10,-19,-9
10,-18,-8
10,-17,-7
10,-16,-6
10,-15,-5
10,-14,-4
10,-13,-3
10,-12,-2
10,-11,-1
10,-10,0
10,-9,1
10,-8,2
10,-7,3
10,-6,4
10,-5,5
10,-4,6
10,-3,7
10,-2,8
10,-1,9
10,0,10
10,1,11
10,2,12
10,3,13
10,4,14
10,5,15
10,6,16
10,7,17
10,8,18
10,9,19
10,10,20
10,11,21
10,12,22
10,13,23
10,14,24
10,15,25
10,16,26
10,17,27
10,18,28
10,19,29
11,-20,-9
11,-19,-8
11,-18,-7
11,-17,-6
11,-16,-5
11,-15,-4
11,-14,-3
11,-13,-2
11,-12,-1
11,-11,0
11,-10,1
11,-9,2
11,-8,3
11,-7,4
11,-6,5
11,-5,6
11,-4,7
11,-3,8
11,-2,9
11,-1,10
11,0,11
11,1,12
11,2,13
11,3,14
11,4,15
11,5,16
11,6,17
11,7,18
11,8,19
11,9,20
11,10,21
11,11,22
11,12,23
11,13,24
11,14,25
11,15,26
11,16,27
11,17,28
11,18,29
11,19,30
12,-20,-8
12,-19,-7
12,-18,-6
12,-17,-5
12,-16,-4
12,-15,-3
12,-14,-2
12,-13,-1
12,-12,0
12,-11,1
12,-10,2
12,-9,3
12,-8,4
12,-7,5
12,-6,6
12,-5,7
12,-4,8
12,-3,9
12,-2,10
12,-1,11
12,0,12
12,1,13
12,2,14
12,3,15
12,4,16
12,5,17
12,6,18
12,7,19
12,8,20
12,9,21
12,10,22
12,11,23
12,12,24
12,13,25
12,14,26
12,15,27
12,16,28
12,17,29
12,18,30
12,19,31
